user_name,bid_no,name_of_work,category,ministry_and_department,quantity,emd,exemption,estimation_value,state,location,apply_mode,website_link,document_link,attachment_link,end_date
mahi,GEM/2025/B/6375053,Power Factor Meter - Digital,,Ministry of Power - NORTH EASTERN ELECTRIC POWER Corporation Limited,20,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8001431,https://bidplus.gem.gov.in/showbidDocument/8001431,14-08-2025 18:00:00
mahi,GEM/2025/B/6528471,Repair and Overhauling Service - FIP ROTARY PUMP ASSY FIP NO 55317039 MAKE BOSCH WITH 06 NOS INJECT,,Ministry of Defence - Department of Defence,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8174962,https://bidplus.gem.gov.in/showbidDocument/8174962,14-08-2025 19:00:00
mahi,GEM/2025/B/6510673,"Meat Masala,Garam Masala,Black Papper,Jeera,Chotti Elachi,Dry Clove,Mustard Seeds,Haldi Powder",,Ministry of Defence - Department of Military Affairs,215,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8154982,https://bidplus.gem.gov.in/showbidDocument/8154982,14-08-2025 19:00:00
mahi,GEM/2025/B/6479788,Washing Machine,,Ministry of Defence - Department of Military Affairs,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8119993,https://bidplus.gem.gov.in/showbidDocument/8119993,14-08-2025 21:00:00
mahi,GEM/2025/B/6384928,"Meals,Tea and Snacks,Drinking Water,Laundry,House Keeping,High Tea opening and closing,Ice Breaking",,Ministry of Defence - Department of Military Affairs,89,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8012530,https://bidplus.gem.gov.in/showbidDocument/8012530,14-08-2025 20:00:00
mahi,GEM/2025/B/6384875,"Shoe Rack,Cloth Stand,Reading Lamp,Bed Sheet 68x36,Bed Sheet 78x78,Bed Towel,Hand Towel,Foot Mat,Ta",,Ministry of Defence - Department of Military Affairs,4544,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8012469,https://bidplus.gem.gov.in/showbidDocument/8012469,14-08-2025 21:00:00
mahi,GEM/2025/B/6511737,Security Manpower Service (Version 2.0) - Office/Commercial/Institutions/ Residential; Unarmed Secu,,Ministry of Education - Department of School Education and Literacy,3,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8156155,https://bidplus.gem.gov.in/showbidDocument/8156155,14-08-2025 18:00:00
mahi,GEM/2025/B/6506238,Repair and Overhauling Service - 30000; 1; No; Service Provider Premises,,Ministry of Defence - Department of Military Affairs,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8150017,https://bidplus.gem.gov.in/showbidDocument/8150017,14-08-2025 20:00:00
mahi,GEM/2025/B/6533876,"Qubo and Maizic Camera with Memory Card,Combo 15 Amp Bd,Tube Light 2 ft and 4 ft,MCB SPN,Casing 1 i",,Ministry of Defence - Department of Military Affairs,46,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8181201,https://bidplus.gem.gov.in/showbidDocument/8181201,14-08-2025 21:00:00
mahi,GEM/2025/B/6533742,"Camp Chair,Storage container for trg eqpt,Power backup for Operational room,Combat cloth,Shelves fo",,Ministry of Defence - Department of Military Affairs,53,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8181046,https://bidplus.gem.gov.in/showbidDocument/8181046,14-08-2025 20:00:00
mahi,GEM/2025/B/6532742,"Key Box,History Board,SOP Notice Board,Duty Board,Plain Brass EME Emblem,Appointment Board,Wooden T",,Ministry of Defence - Department of Military Affairs,8,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8179873,https://bidplus.gem.gov.in/showbidDocument/8179873,14-08-2025 17:00:00
mahi,GEM/2025/B/6530868,"Video Camera for Trg,Lecture Stand,Stopwatch,Emergency Light,Tarpaulin for firing,Map display Table",,Ministry of Defence - Department of Military Affairs,21,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8177722,https://bidplus.gem.gov.in/showbidDocument/8177722,14-08-2025 19:00:00
mahi,GEM/2025/B/6530812,Hiring of Sanitation Service - Manpower Based Model - Sweeper; 6; All Areas; All Areas; Daily; 1,,Ministry of Defence - Department of Military Affairs,249,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8177656,https://bidplus.gem.gov.in/showbidDocument/8177656,14-08-2025 20:00:00
mahi,GEM/2025/B/6526230,"Monthly Basis Cab and Taxi Hiring Service - Without Fuel - SUV; Mahindra Bolero, B-6 BS-VI or equiv",,Ministry of Power - POWER GRID Corporation OF INDIA Limited,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8172428,https://bidplus.gem.gov.in/showbidDocument/8172428,14-08-2025 17:00:00
mahi,GEM/2025/B/6506238,Repair and Overhauling Service - 30000; 1; No; Service Provider Premises,,Ministry of Defence - Department of Military Affairs,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8150017,https://bidplus.gem.gov.in/showbidDocument/8150017,14-08-2025 20:00:00
mahi,GEM/2025/B/6375053,Power Factor Meter - Digital,,Ministry of Power - NORTH EASTERN ELECTRIC POWER Corporation Limited,20,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8001431,https://bidplus.gem.gov.in/showbidDocument/8001431,14-08-2025 18:00:00
mahi,GEM/2025/B/6528471,Repair and Overhauling Service - FIP ROTARY PUMP ASSY FIP NO 55317039 MAKE BOSCH WITH 06 NOS INJECT,,Ministry of Defence - Department of Defence,1,,,,ARUNACHAL PRADESH,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/8174962,https://bidplus.gem.gov.in/showbidDocument/8174962,14-08-2025 19:00:00
